Timestamp,Instrument,UpdateNumber,Latency(µs)
Mon Jan 13 16:19:06 2025,ADA_USDC-PERPETUAL,1,43
Mon Jan 13 16:19:06 2025,ADA_USDC-PERPETUAL,2,283
Mon Jan 13 16:19:10 2025,ETH-PERPETUAL,1,211
Mon Jan 13 16:19:10 2025,ETH-PERPETUAL,2,4761
Mon Jan 13 16:19:14 2025,ETH-PERPETUAL,1,157
Mon Jan 13 16:19:14 2025,ETH-PERPETUAL,2,4401
Mon Jan 13 16:19:18 2025,BTC-PERPETUAL,1,160
Mon Jan 13 16:19:18 2025,BTC-PERPETUAL,2,27364
Mon Jan 13 16:19:22 2025,BTC-PERPETUAL,1,106
Mon Jan 13 16:19:22 2025,BTC-PERPETUAL,2,8056
Mon Jan 13 16:19:26 2025,ADA_USDC-PERPETUAL,1,42
Mon Jan 13 16:19:26 2025,ADA_USDC-PERPETUAL,2,295
Mon Jan 13 16:19:30 2025,ADA_USDC-PERPETUAL,1,69
Mon Jan 13 16:19:30 2025,ADA_USDC-PERPETUAL,2,272
Mon Jan 13 16:19:34 2025,BTC-PERPETUAL,1,57
Mon Jan 13 16:19:34 2025,BTC-PERPETUAL,2,6954
Mon Jan 13 16:19:38 2025,ADA_USDC-PERPETUAL,1,43
Mon Jan 13 16:19:38 2025,ADA_USDC-PERPETUAL,2,289
Mon Jan 13 16:19:42 2025,BTC-PERPETUAL,1,42
Mon Jan 13 16:19:42 2025,BTC-PERPETUAL,2,5877
Mon Jan 13 16:19:42 2025,BTC-PERPETUAL,3,91
Mon Jan 13 16:19:42 2025,BTC-PERPETUAL,4,164
Mon Jan 13 16:19:46 2025,BTC-PERPETUAL,1,43
Mon Jan 13 16:19:46 2025,BTC-PERPETUAL,2,5525
Mon Jan 13 16:19:50 2025,ETH-PERPETUAL,1,158
Mon Jan 13 16:19:50 2025,ETH-PERPETUAL,2,4416
Mon Jan 13 16:19:50 2025,ETH-PERPETUAL,3,339
Mon Jan 13 16:19:54 2025,BTC-PERPETUAL,1,157
Mon Jan 13 16:19:54 2025,BTC-PERPETUAL,2,9212
Mon Jan 13 16:19:59 2025,ETH-PERPETUAL,1,158
Mon Jan 13 16:19:59 2025,ETH-PERPETUAL,2,4140
Mon Jan 13 16:20:03 2025,ETH-PERPETUAL,1,42
Mon Jan 13 16:20:03 2025,ETH-PERPETUAL,2,955
Mon Jan 13 16:20:03 2025,ETH-PERPETUAL,3,291
Mon Jan 13 16:20:07 2025,ADA_USDC-PERPETUAL,1,42
Mon Jan 13 16:20:07 2025,ADA_USDC-PERPETUAL,2,267
Mon Jan 13 16:20:11 2025,ETH-PERPETUAL,1,42
Mon Jan 13 16:20:11 2025,ETH-PERPETUAL,2,952
Mon Jan 13 16:20:11 2025,ETH-PERPETUAL,3,87
Mon Jan 13 16:20:14 2025,BTC-PERPETUAL,1,42
Mon Jan 13 16:20:14 2025,BTC-PERPETUAL,2,5174
Mon Jan 13 16:20:14 2025,BTC-PERPETUAL,3,102
Mon Jan 13 16:20:14 2025,BTC-PERPETUAL,4,92
Mon Jan 13 16:20:14 2025,BTC-PERPETUAL,5,91
Mon Jan 13 16:20:18 2025,ADA_USDC-PERPETUAL,1,162
Mon Jan 13 16:20:18 2025,ADA_USDC-PERPETUAL,2,1217
Mon Jan 13 16:20:23 2025,ETH-PERPETUAL,1,178
Mon Jan 13 16:20:23 2025,ETH-PERPETUAL,2,3472
Mon Jan 13 16:20:23 2025,ETH-PERPETUAL,3,83
Mon Jan 13 16:20:27 2025,ETH-PERPETUAL,1,42
Mon Jan 13 16:20:27 2025,ETH-PERPETUAL,2,1094
Mon Jan 13 16:20:27 2025,ETH-PERPETUAL,3,91
Mon Jan 13 16:20:30 2025,ADA_USDC-PERPETUAL,1,159
Mon Jan 13 16:20:30 2025,ADA_USDC-PERPETUAL,2,1300
Mon Jan 13 16:20:34 2025,ADA_USDC-PERPETUAL,1,43
Mon Jan 13 16:20:34 2025,ADA_USDC-PERPETUAL,2,265
Mon Jan 13 16:20:38 2025,ADA_USDC-PERPETUAL,1,47
Mon Jan 13 16:20:38 2025,ADA_USDC-PERPETUAL,2,295
Mon Jan 13 16:20:42 2025,BTC-PERPETUAL,1,77
Mon Jan 13 16:20:42 2025,BTC-PERPETUAL,2,5387
Mon Jan 13 16:20:42 2025,BTC-PERPETUAL,3,142
Mon Jan 13 16:20:42 2025,BTC-PERPETUAL,4,523
Mon Jan 13 16:20:47 2025,ADA_USDC-PERPETUAL,1,124
Mon Jan 13 16:20:47 2025,ADA_USDC-PERPETUAL,2,1120
Mon Jan 13 16:20:50 2025,ADA_USDC-PERPETUAL,1,226
Mon Jan 13 16:20:50 2025,ADA_USDC-PERPETUAL,2,1371
Mon Jan 13 16:20:54 2025,BTC-PERPETUAL,1,247
Mon Jan 13 16:20:54 2025,BTC-PERPETUAL,2,8694
Mon Jan 13 16:20:58 2025,ETH-PERPETUAL,1,160
Mon Jan 13 16:20:58 2025,ETH-PERPETUAL,2,4271
Mon Jan 13 16:21:02 2025,BTC-PERPETUAL,1,229
Mon Jan 13 16:21:02 2025,BTC-PERPETUAL,2,8320
Mon Jan 13 16:21:07 2025,ETH-PERPETUAL,1,179
Mon Jan 13 16:21:07 2025,ETH-PERPETUAL,2,5548
Mon Jan 13 16:21:07 2025,ETH-PERPETUAL,3,419
Mon Jan 13 16:21:11 2025,ETH-PERPETUAL,1,176
Mon Jan 13 16:21:11 2025,ETH-PERPETUAL,2,3950
Mon Jan 13 16:21:15 2025,ADA_USDC-PERPETUAL,1,178
Mon Jan 13 16:21:15 2025,ADA_USDC-PERPETUAL,2,1380
Mon Jan 13 16:21:19 2025,ADA_USDC-PERPETUAL,1,179
Mon Jan 13 16:21:19 2025,ADA_USDC-PERPETUAL,2,1434
Mon Jan 13 16:21:23 2025,ETH-PERPETUAL,1,177
Mon Jan 13 16:21:23 2025,ETH-PERPETUAL,2,4682
Mon Jan 13 16:21:27 2025,BTC-PERPETUAL,1,46
Mon Jan 13 16:21:27 2025,BTC-PERPETUAL,2,6342
Mon Jan 13 16:21:31 2025,ADA_USDC-PERPETUAL,1,211
Mon Jan 13 16:21:31 2025,ADA_USDC-PERPETUAL,2,1671
Mon Jan 13 16:21:35 2025,ETH-PERPETUAL,1,81
Mon Jan 13 16:21:35 2025,ETH-PERPETUAL,2,2340
Mon Jan 13 16:21:35 2025,ETH-PERPETUAL,3,432
Mon Jan 13 16:21:39 2025,BTC-PERPETUAL,1,47
Mon Jan 13 16:21:39 2025,BTC-PERPETUAL,2,5321
